review,sentiment
"I loved the movie! The story was engaging and the acting was superb.",Positive
"The film was okay, but I found the plot a bit slow and predictable.",Neutral
"Absolutely terrible. The acting was wooden and the plot made no sense.",Negative
"Fantastic movie with stunning visuals and an amazing soundtrack.",Positive
"I didn't enjoy the movie at all. It was a waste of time.",Negative
"The movie was quite entertaining and kept me hooked from start to finish.",Positive
"Not great. The film lacked depth and the characters were one-dimensional.",Negative
"An absolute masterpiece. Great direction, acting, and screenplay.",Positive
"Very disappointing. The movie was too long and dragged in many parts.",Negative
"The film was a pleasant surprise with excellent performances and a tight plot.",Positive
